VERSION_INDEX;FILE_NAME;LOC;LOC_ADDED;MAX_LOC_ADDED;AVG_LOC_ADDED;NR;NFIX;AUTHORS;CHURN;MAX_CHURN;BUGGYNESS
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java;288;379;355;8.063829787234043;4;0;3;286;355;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java;57;114;114;2.425531914893617;2;0;3;55;114;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java;532;474;468;10.085106382978724;2;0;3;468;468;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java;599;512;509;10.893617021276595;2;0;3;506;509;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java;148;121;121;2.574468085106383;1;0;3;121;121;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java;174;164;164;3.4893617021276597;1;0;3;164;164;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java;148;137;137;2.9148936170212765;1;0;3;137;137;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java;92;83;83;1.7659574468085106;1;0;3;83;83;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java;209;213;207;4.531914893617022;3;0;3;188;207;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java;54;48;47;1.0212765957446808;2;0;3;47;47;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java;38;30;30;0.6382978723404256;1;0;3;30;30;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java;98;83;83;1.7659574468085106;1;0;3;83;83;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java;39;32;32;0.6808510638297872;1;0;3;32;32;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java;94;72;59;1.5319148936170213;2;0;3;72;59;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java;94;83;83;2.1842105263157894;2;0;2;83;83;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieLayoutVersionTest.java;246;267;237;5.680851063829787;3;0;3;222;237;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java;90;81;81;2.3823529411764706;2;0;1;81;81;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java;66;66;64;1.4042553191489362;2;0;3;61;64;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java;612;567;549;12.063829787234043;3;0;3;544;549;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCacheTest.java;133;125;123;2.6595744680851063;3;0;3;116;123;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java;343;313;310;6.659574468085107;3;0;3;308;310;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalAsyncLedgerOpsTest.java;47;40;40;1.0526315789473684;2;0;2;40;40;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieFailureTest.java;47;40;40;1.0526315789473684;2;0;2;40;40;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieReadWriteTest.java;47;40;40;1.0526315789473684;2;0;2;40;40;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieRecoveryTest.java;46;39;39;1.0263157894736843;2;0;2;39;39;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalLedgerDeleteTest.java;47;40;40;1.0526315789473684;2;0;2;40;40;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerLayoutTest.java;136;118;118;3.1052631578947367;2;0;2;118;118;No
