Dataset,#TrainingRelease,%Training,%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
AVRO,8,0.8678828081813157,0.1942675159235669,0.04602510460251046,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,1,9,219,10,0.1,0.09090909090909091,0.5257177033492823,0.05376120025005165
AVRO,9,0.7737382378100941,0.17468214483139857,0.08506616257088846,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,484,45,NaN,0.0,0.5,0.0
AVRO,10,0.8968162639048715,0.1544054747647562,0.09665427509293681,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,243,26,NaN,0.0,0.5,0.0
AVRO,11,0.9036395147313692,0.14844649021864212,0.014388489208633094,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,274,4,NaN,0.0,0.5,0.0
AVRO,12,0.908375314861461,0.13552859618717505,0.013745704467353952,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,287,4,NaN,0.0,0.5,0.0
AVRO,13,0.9160657629074127,0.12437027707808564,0.006872852233676976,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,289,2,NaN,0.0,0.5,0.0
AVRO,14,0.9169531869875694,0.11450822036342659,0.2070063694267516,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,249,65,NaN,0.0,0.5,0.0
AVRO,15,0.9233211233211234,0.12218989685268447,0.025477707006369428,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,306,8,NaN,0.0,0.5,0.0
AVRO,16,0.9285714285714286,0.11477411477411477,0.11746031746031746,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,278,37,NaN,0.0,0.5,0.0
AVRO,1,0.449438202247191,0.0,0.2755102040816326,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,0,7,64,27,0.0,0.0,0.4507042253521127,-0.12796208530805725
AVRO,2,0.6334519572953736,0.15168539325842698,0.02912621359223301,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,0,0,100,3,NaN,0.0,0.5,0.0
AVRO,3,0.48700173310225303,0.10676156583629894,0.12162162162162163,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,4,1,259,32,0.8,0.1111111111111111,0.5536324786324787,0.17051630434782575
AVRO,4,0.7850340136054422,0.11438474870017332,0.06329113924050633,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,0,15,133,10,0.0,0.0,0.44932432432432434,-0.08219178082191785
AVRO,5,0.8221476510067114,0.10340136054421768,0.018867924528301886,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,1,7,149,2,0.125,0.3333333333333333,0.6442307692307693,0.15873015873015908
AVRO,6,0.6701649175412294,0.0883668903803132,0.0,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,0,0,440,0,NaN,NaN,NaN,1.0
AVRO,7,0.8496815286624204,0.05922038980509745,0.9576271186440678,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,22,0,10,204,1.0,0.09734513274336283,0.5486725663716814,0.009056479499423677
AVRO,8,0.8678828081813157,0.1942675159235669,0.04602510460251046,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,11,49,179,0,0.18333333333333332,1.0,0.8925438596491229,0.25164547255415676
AVRO,9,0.7737382378100941,0.17468214483139857,0.08506616257088846,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,34,28,456,11,0.5483870967741935,0.7555555555555555,0.848852157943067,0.5956529408306056
AVRO,10,0.8968162639048715,0.1544054747647562,0.09665427509293681,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,15,27,216,11,0.35714285714285715,0.5769230769230769,0.7329059829059829,0.3654084926744473
AVRO,11,0.9036395147313692,0.14844649021864212,0.014388489208633094,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,1,25,249,3,0.038461538461538464,0.25,0.5793795620437956,0.042793900639448414
AVRO,12,0.908375314861461,0.13552859618717505,0.013745704467353952,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,2,22,265,2,0.08333333333333333,0.5,0.7116724738675958,0.12217194570135659
AVRO,13,0.9160657629074127,0.12437027707808564,0.006872852233676976,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,0,3,286,2,0.0,0.0,0.49480968858131485,-0.008316008316011309
AVRO,14,0.9169531869875694,0.11450822036342659,0.2070063694267516,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,21,11,238,44,0.65625,0.3230769230769231,0.639450108124807,0.34329606814206426
AVRO,15,0.9233211233211234,0.12218989685268447,0.025477707006369428,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,1,9,297,7,0.1,0.125,0.5477941176470589,0.08521485797523719
AVRO,16,0.9285714285714286,0.11477411477411477,0.11746031746031746,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,16,18,260,21,0.47058823529411764,0.43243243243243246,0.6838421154967917,0.3810771323492369
AVRO,1,0.449438202247191,0.0,0.2755102040816326,IBK,NO,NO,SENSITIVE THRESHOLD,0,0,71,27,NaN,0.0,0.5,0.0
AVRO,2,0.6334519572953736,0.15168539325842698,0.02912621359223301,IBK,NO,NO,SENSITIVE THRESHOLD,1,25,75,2,0.038461538461538464,0.3333333333333333,0.5416666666666666,0.01766160367361344
AVRO,3,0.48700173310225303,0.10676156583629894,0.12162162162162163,IBK,NO,NO,SENSITIVE THRESHOLD,15,17,243,21,0.46875,0.4166666666666667,0.6756410256410257,0.3689407540394972
AVRO,4,0.7850340136054422,0.11438474870017332,0.06329113924050633,IBK,NO,NO,SENSITIVE THRESHOLD,0,1,147,10,0.0,0.0,0.4966216216216216,-0.011641443539000028
AVRO,5,0.8221476510067114,0.10340136054421768,0.018867924528301886,IBK,NO,NO,SENSITIVE THRESHOLD,1,9,147,2,0.1,0.3333333333333333,0.6378205128205128,0.12855007473841562
AVRO,6,0.6701649175412294,0.0883668903803132,0.0,IBK,NO,NO,SENSITIVE THRESHOLD,0,3,437,0,0.0,NaN,NaN,0.0
AVRO,7,0.8496815286624204,0.05922038980509745,0.9576271186440678,IBK,NO,NO,SENSITIVE THRESHOLD,22,0,10,204,1.0,0.09734513274336283,0.5486725663716814,0.009056479499423677
AVRO,8,0.8678828081813157,0.1942675159235669,0.04602510460251046,IBK,NO,NO,SENSITIVE THRESHOLD,10,223,5,1,0.04291845493562232,0.9090909090909091,0.4655103668261563,-0.006504982139499909
AVRO,9,0.7737382378100941,0.17468214483139857,0.08506616257088846,IBK,NO,NO,SENSITIVE THRESHOLD,10,259,225,35,0.03717472118959108,0.2222222222222222,0.34354912764003676,-0.0960562665614252
AVRO,10,0.8968162639048715,0.1544054747647562,0.09665427509293681,IBK,NO,NO,SENSITIVE THRESHOLD,2,43,200,24,0.044444444444444446,0.07692307692307693,0.4499841722063944,-0.07542216122680367
AVRO,11,0.9036395147313692,0.14844649021864212,0.014388489208633094,IBK,NO,NO,SENSITIVE THRESHOLD,3,23,251,1,0.11538461538461539,0.75,0.833029197080292,0.17953762911952736
AVRO,12,0.908375314861461,0.13552859618717505,0.013745704467353952,IBK,NO,NO,SENSITIVE THRESHOLD,0,5,282,4,0.0,0.0,0.4912891986062718,-0.015509887553313503
AVRO,13,0.9160657629074127,0.12437027707808564,0.006872852233676976,IBK,NO,NO,SENSITIVE THRESHOLD,0,1,288,2,0.0,0.0,0.4982698961937716,-0.004602991944765778
AVRO,14,0.9169531869875694,0.11450822036342659,0.2070063694267516,IBK,NO,NO,SENSITIVE THRESHOLD,11,10,239,54,0.5238095238095238,0.16923076923076924,0.5645350633302441,0.1721183158935489
AVRO,15,0.9233211233211234,0.12218989685268447,0.025477707006369428,IBK,NO,NO,SENSITIVE THRESHOLD,0,9,297,8,0.0,0.0,0.4852941176470588,-0.027724297266075084
AVRO,16,0.9285714285714286,0.11477411477411477,0.11746031746031746,IBK,NO,NO,SENSITIVE THRESHOLD,15,50,228,22,0.23076923076923078,0.40540540540540543,0.6127746451487459,0.169838945827233
AVRO,1,0.449438202247191,0.0,0.2755102040816326,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,71,27,NaN,0.0,0.5,0.0
AVRO,2,0.6334519572953736,0.15168539325842698,0.02912621359223301,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,100,3,NaN,0.0,0.7233333333333334,0.0
AVRO,3,0.48700173310225303,0.10676156583629894,0.12162162162162163,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,260,36,NaN,0.0,0.9213675213675213,0.0
AVRO,4,0.7850340136054422,0.11438474870017332,0.06329113924050633,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,148,10,NaN,0.0,0.6496621621621622,0.0
AVRO,5,0.8221476510067114,0.10340136054421768,0.018867924528301886,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,156,3,NaN,0.0,0.9081196581196581,0.0
AVRO,6,0.6701649175412294,0.0883668903803132,0.0,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,440,0,NaN,NaN,NaN,1.0
AVRO,7,0.8496815286624204,0.05922038980509745,0.9576271186440678,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,10,226,NaN,0.0,0.5588495575221238,0.0
AVRO,8,0.8678828081813157,0.1942675159235669,0.04602510460251046,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,228,11,NaN,0.0,0.7001594896331739,0.0
AVRO,9,0.7737382378100941,0.17468214483139857,0.08506616257088846,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,484,45,NaN,0.0,0.4922176308539945,0.0
