Dataset,#TrainingRelease,%Training,%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
AVRO,10,0.8968162639048715,0.1544054747647562,0.09665427509293681,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,243,26,NaN,0.0,0.09235517568850903,0.0
AVRO,11,0.9036395147313692,0.14844649021864212,0.014388489208633094,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,274,4,NaN,0.0,0.9635036496350365,0.0
AVRO,12,0.908375314861461,0.13552859618717505,0.013745704467353952,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,287,4,NaN,0.0,0.9294425087108014,0.0
AVRO,13,0.9160657629074127,0.12437027707808564,0.006872852233676976,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,289,2,NaN,0.0,0.9792387543252595,0.0
AVRO,14,0.9169531869875694,0.11450822036342659,0.2070063694267516,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,249,65,NaN,0.0,0.8937287611986408,0.0
AVRO,15,0.9233211233211234,0.12218989685268447,0.025477707006369428,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,306,8,NaN,0.0,0.8553921568627451,0.0
AVRO,16,0.9285714285714286,0.11477411477411477,0.11746031746031746,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,278,37,NaN,0.0,0.9547929224188217,0.0
AVRO,1,0.449438202247191,0.0,0.2755102040816326,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,0,7,64,27,0.0,0.0,0.4507042253521127,-0.12796208530805725
AVRO,2,0.6334519572953736,0.15168539325842698,0.02912621359223301,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,0,0,100,3,NaN,0.0,0.8,0.0
AVRO,3,0.48700173310225303,0.10676156583629894,0.12162162162162163,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,4,1,259,32,0.8,0.1111111111111111,0.6334935897435897,0.17051630434782575
AVRO,4,0.7850340136054422,0.11438474870017332,0.06329113924050633,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,0,14,134,10,0.0,0.0,0.6493243243243243,-0.07972665148063804
AVRO,5,0.8221476510067114,0.10340136054421768,0.018867924528301886,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,0,6,150,3,0.0,0.0,0.42735042735042733,-0.02580645161290233
AVRO,6,0.6701649175412294,0.0883668903803132,0.0,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,0,0,440,0,NaN,NaN,NaN,1.0
AVRO,7,0.8496815286624204,0.05922038980509745,0.9576271186440678,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,21,0,10,205,1.0,0.09292035398230089,0.6805309734513274,0.008606557377049191
AVRO,8,0.8678828081813157,0.1942675159235669,0.04602510460251046,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,9,34,194,2,0.20930232558139536,0.8181818181818182,0.921451355661882,0.2806020066889635
AVRO,9,0.7737382378100941,0.17468214483139857,0.08506616257088846,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,34,27,457,11,0.5573770491803278,0.7555555555555555,0.9579430670339761,0.6026016131583108
AVRO,10,0.8968162639048715,0.1544054747647562,0.09665427509293681,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,13,24,219,13,0.35135135135135137,0.5,0.9039252928141817,0.33748252679225194
AVRO,11,0.9036395147313692,0.14844649021864212,0.014388489208633094,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,1,19,255,3,0.05,0.25,0.864963503649635,0.06081081081081163
AVRO,12,0.908375314861461,0.13552859618717505,0.013745704467353952,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,2,17,270,2,0.10526315789473684,0.5,0.9102787456445993,0.154716404219538
