Dataset,#TrainingRelease,%Training,%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,IBK,NO,NO,NO,13,27,504,47,0.325,0.21666666666666667,0.5917608286252354,0.19458563535911622
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,IBK,NO,NO,NO,66,22,148,383,0.75,0.14699331848552338,0.5087907768898206,0.010592827345596943
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,198,105,NaN,0.0,0.5,0.0
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,436,29,NaN,0.0,0.5,0.0
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,1,530,60,0.0,0.0,0.4990583804143126,-0.003339734491108612
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,5,0,170,444,1.0,0.011135857461024499,0.5055679287305123,0.006147481702201538
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,1,1,197,104,0.5,0.009523809523809525,0.5022366522366523,0.005812318365051087
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,0,0,436,29,NaN,0.0,0.5,0.0
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,4,0,531,56,1.0,0.06666666666666667,0.5333333333333333,0.11375321336760952
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,94,14,156,355,0.8703703703703703,0.20935412026726058,0.563500589545395,0.07824083228745875
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,IBK,NO,NO,SENSITIVE THRESHOLD,0,0,198,105,NaN,0.0,0.5,0.0
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,IBK,NO,NO,SENSITIVE THRESHOLD,17,90,346,12,0.1588785046728972,0.5862068965517241,0.6898924391015502,0.16839078444436664
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,IBK,NO,NO,SENSITIVE THRESHOLD,13,27,504,47,0.325,0.21666666666666667,0.582909604519774,0.19458563535911622
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,IBK,NO,NO,SENSITIVE THRESHOLD,66,22,148,383,0.75,0.14699331848552338,0.5087907768898206,0.010592827345596943
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,198,105,NaN,0.0,0.5,0.0
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,436,29,NaN,0.0,0.8332015185068017,0.0
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,531,60,NaN,0.0,0.9358443188951664,0.0
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,170,449,NaN,0.0,0.6765360932791825,0.0
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,1,1,197,104,0.5,0.009523809523809525,0.3154160654160654,0.005812318365051087
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,0,0,436,29,NaN,0.0,0.4161262258778867,0.0
